Customer_ID,Part_ID,Period,Demand
0,0,0,7
0,0,1,10
0,0,2,10
0,0,3,1
0,0,4,6
0,0,5,3
0,0,6,10
0,0,7,3
0,0,8,7
0,0,9,2
0,0,10,4
0,0,11,5
0,0,12,5
0,0,13,8
0,0,14,8
0,0,15,3
0,0,16,5
0,0,17,3
0,0,18,8
0,0,19,5
0,0,20,3
0,0,21,1
0,0,22,9
0,0,23,5
0,0,24,10
0,0,25,7
0,0,26,3
0,0,27,2
0,0,28,6
0,0,29,1
0,0,30,10
0,0,31,6
0,0,32,9
0,0,33,4
0,0,34,5
0,0,35,2
0,0,36,10
0,0,37,19
0,0,38,6
0,0,39,3
0,0,40,1
0,0,41,5
0,0,42,7
0,0,43,5
0,0,44,1
0,0,45,4
0,0,46,7
0,0,47,5
0,0,48,8
0,0,49,7
0,0,50,8
0,0,51,4
0,0,52,3
0,0,53,2
0,0,54,9
0,0,55,7
0,0,56,3
0,0,57,9
0,0,58,3
0,0,59,2
0,0,60,9
0,0,61,7
0,0,62,13
0,0,63,4
0,0,64,1
0,0,65,1
0,0,66,4
0,0,67,5
0,0,68,8
0,0,69,2
0,0,70,2
0,0,71,5
0,0,72,9
0,0,73,10
0,0,74,10
0,0,75,3
0,0,76,4
0,0,77,2
0,0,78,1
0,0,79,6
0,0,80,11
0,0,81,7
0,0,82,5
0,0,83,5
0,0,84,4
0,0,85,7
0,0,86,11
0,0,87,3
0,0,88,6
0,0,89,3
0,0,90,5
0,0,91,6
0,0,92,8
0,0,93,4
0,0,94,0
0,0,95,4
0,0,96,12
0,0,97,10
0,0,98,11
0,0,99,3
0,0,100,2
0,0,101,2
0,0,102,9
0,0,103,9
0,0,104,3
0,0,105,3
0,0,106,7
0,0,107,4
0,0,108,6
0,0,109,2
0,0,110,6
0,0,111,3
0,0,112,2
0,0,113,2
0,0,114,8
0,0,115,5
0,0,116,7
0,0,117,4
0,0,118,3
0,0,119,5
0,1,0,2
0,1,1,2
0,1,2,5
0,1,3,0
0,1,4,1
0,1,5,0
0,1,6,0
0,1,7,2
0,1,8,5
0,1,9,2
0,1,10,2
0,1,11,2
0,1,12,2
0,1,13,1
0,1,14,4
0,1,15,1
0,1,16,0
0,1,17,0
0,1,18,1
0,1,19,3
0,1,20,3
0,1,21,1
0,1,22,4
0,1,23,0
0,1,24,2
0,1,25,2
0,1,26,0
0,1,27,0
0,1,28,1
0,1,29,0
0,1,30,2
0,1,31,1
0,1,32,1
0,1,33,0
0,1,34,3
0,1,35,1
0,1,36,3
0,1,37,2
0,1,38,2
0,1,39,0
0,1,40,1
0,1,41,2
0,1,42,2
0,1,43,1
0,1,44,2
0,1,45,1
0,1,46,1
0,1,47,2
0,1,48,1
0,1,49,1
0,1,50,2
0,1,51,0
0,1,52,1
0,1,53,0
0,1,54,2
0,1,55,1
0,1,56,2
0,1,57,0
0,1,58,1
0,1,59,2
